NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Tip lucrare,Variante de ocolire,viz_name,map_zoom
6.33,DN3B,0+200,1+250,2025-12-15 14:10:00,2026-12-31 23:59:00,CALARASI (CL) - CALARASI (CL),Lucrari de reparatii pod DN3B  km 0+822 peste canal la Calarasi.,Se circula pe partea dreapta a drumului in ambele sensuri pe cate o banda cu limita de viteza 40 km/h.,DN3B,"['0', '200', '1', '250']"
6.34,DN59B,60+000,75+488,2026-03-20 10:55:00,2026-12-31 12:00:00,LIVEZILE (TM) - DETA (TM),Se executa lucrari de consolidare.,Circulatie rutiera se efectueaza 1/2 cale.,DN59B,"['60', '0', '75', '488']"
6.35,DN6,41+400,41+400,2026-06-13 08:00:00,2026-09-13 23:59:00,GHIMPATI (GR) - GHIMPATI (GR),"DN 6 km 41+400. Calea 1. Sens Bucuresti - Alexandria. Incepand cu data de 13 iunie 2026 ora 08:00, pe o perioada de aproximativ 3 luni, traficul rutier se desfasoara alternativ, pe un sens, pe DN 6, in localitatea Ghimpati, judetul Giurgiu, unde se efectueaza lucrari de reparatii la podul amplasat la kilometrul 41+400 de metri. Lucrarile sunt semanlizate corespunzator conform normelor metodologice in vigoare.","Traficul rutier se desfasoara alternativ, prin semaforizare, dar si dirijata cu piloti de circulatie.",DN6,"['41', '400', '41', '400']"
6.36,DN67D,0+000,30+000,2025-12-30 08:00:00,2027-04-30 17:00:00,TARGU JIU (GJ) - TISMANA (GJ),Se executa lucrari de consolidare drum si asigurare scurgeri ape.,"Circulatia rutiera se desfasoara ingreunat, se circula pe variante ocolitoare provizorii dirijat prin semafoare.",DN67D,"['0', '0', '30', '0']"
6.37,DN7,239+925,250+232,2026-03-17 08:00:00,2026-07-31 17:30:00,LAZARET (SB) - BOITA (SB),Lucrari efectuate:- Ranguire versant si indepartare blocuri de roca.- Montarea sistemelor de protectie (plase si ancore).- Stabilizarea taluzului drumului.,"Restrictie temporara de circulatie pentru autovehiculele cu MTMA mai mare de 7,5 tone, cu exceptia celor cu autotizatie sau a celor de transport persoane.Interval de valabilitate 16.07.2026 - 31.07.2026, de Luni pana Sambata, intre orele 08:00 - 17:30.Rute ocolitoare pentru autovehiculele peste 7,5 tone:Bucuresti - A3 - Ploiesti - DN1A - Brasov - DN1 - Vestem.Bucuresti - A1 - Pitesti - DN7 - Ramnicu Valcea - DN67 - Targu Jiu - DN66 - Simeria.Pentru autovehiculele cu MTMA mai mica de 7,5 tone in zona lucrarilor se va circula dirijat de piloti de circulatie pe 1/2 cale in reprize de 15 minute.",DN7,"['239', '925', '250', '232']"
6.38,DN7,198+000,219+200,2026-03-17 08:00:00,2026-07-31 17:30:00,CALIMANESTI (VL) - CAINENII MICI (VL),Lucrari efectuate:- Ranguire versant si indepartare blocuri de roca.- Montarea sistemelor de protectie (plase si ancore).- Stabilizarea taluzului drumului.,"Restrictie temporara de circulatie pentru autovehiculele cu MTMA mai mare de 7,5 tone.Interval de valabilitate 17.03.2026 - 15.07.2026, de Luni pana Sambata, intre orele 08:00 - 17:30.Rute ocolitoare pentru autovehiculele peste 7,5 tone:Bucuresti - A3 - Ploiesti - DN1A - Brasov - DN1 - Vestem.Bucuresti - A1 - Pitesti - DN7 - Ramnicu Valcea - DN67 - Targu Jiu - DN66 - Simeria.Pentru autovehiculele cu MTMA mai mica de 7,5 tone in zona lucrarilor, circulatia rutiera se inchide/deschide pe 1/2 cale in reprize de max. 30 minute, dirijata prin semafoare si piloti de circulatie.",DN7,"['198', '0', '219', '200']"
6.39,DN7,251+600,251+750,2026-01-13 13:31:00,2027-02-28 23:59:00,BOITA (SB) - TALMACIU (SB),"Proiectare si Executie Autostrada Sibiu - Fagaras, Tronsonul 1:Boita (Autostrada Sibiu-Pitesti) si Avrig-Marsa (DJ 105G), km0+00 -km14+253- executie lucrari in nod Rutier Boita. Lucrarile sunt realizate de Antreprenorul turc MAKYOL INSAAT SANAYI TURIZM VE TICARET ANONIM SIRKETI.","Nu este cazul. Traficul rutier de pe DN 7, se desfasoara simultan pe ambele sensuri, pe benzile nr. 1, iar benzile centrale (nr. 2) sunt restrictionate conform avize si autorizatie obtinute.",DN7,"['251', '600', '251', '750']"
6.4,DN7,242+400,245+400,2026-05-26 08:51:00,2027-11-15 23:59:00,BOITA (SB) - LAZARET (SB),"Proiectare si executie Autostrada Sibiu - Pitesti, Sectiunea 2 Boita - Cornetu, realizare lucrari necesare la Autostrada Sibiu - Pitesti Sectiunea 2,  cuprinse intre km 20+500 - km 22+500.  Antreprenor :   Asocierea turca MAPA  - CENGIZ .",Restrictie de circulatie prin devierea temporara a circulatiei rutiere de pe un sens (Sibiu-Valcea) pe celalalt sens (Valcea-Sibiu) circulatie simultana in ambele sensuri cu instituiri limita de viteza la 40 km/h.,DN7,"['242', '400', '245', '400']"
6.41,DN7,377+200,377+200,2026-05-29 12:00:00,2026-11-16 12:00:00,SIMERIA VECHE (HD) - ,"Pe DN 7, in localitatea Simeria Veche (judetul Hunedoara), au inceput lucrari de intretinere periodica la podul peste raul Strei. Interventiile vizeaza reparatii si modernizari la structura podului, partea carosabila, trotuare, parapete, sistemul de scurgere a apelor, zonele de acces si albia raului. De asemenea, vor fi refacute marcajele rutiere si racordarile cu rampele de acces, pentru imbunatatirea conditiilor de circulatie si sigurantei rutiere.","Pe durata lucrarilor, circulatia rutiera se va desfasura alternativ, pe un singur sens, fiind dirijata cu semafor temporar.",DN7,"['377', '200', '377', '200']"
6.42,DN71,0+500,0+700,2026-05-14 14:50:00,2026-08-28 23:59:00,BALDANA (DB) - ,Lucrari de largire la 4 benzi de circulatie. Circulatia se desfasoara alternativ dirijata cu semafoare.,,DN71,"['0', '500', '0', '700']"
6.43,VO1K,8+340,9+340,2026-05-11 08:00:00,2026-09-11 16:00:00,BRASOV (BV) - BRASOV (BV),Lucrari in cadrul proiectului  inlocuire hidroizolatie - pasaj VO1K executant SC Zohir 84 cons construct,"In perioada 11.05 - 11.07. 2026, calea 1 inchisa, devierea traficului pe directia Bucuresti - Sibiu pe calea 2 banda 2 si restrangerea traficului pe directia Sibiu -- Bucuresti pe calea 2 banda 1In perioada 12.07 - 11.09. 2026, calea 2 inchisa, devierea traficului pe directia Sibiu - Bucuresti  pe calea 1 banda 2 si restrangerea traficului pe directia Bucuresti - Sibiu pe calea 1 banda 1",VO1K,"['8', '340', '9', '340']"
