pozitie,url,angajator,detalii,publicat_in,expira_in,judet,url_judet,tip,updates
șef centru,https://posturi.gov.ro/anunt/sef-centru-11/,Direcția Generală de Asistență Socială și Protecția Copilului Neamț,"Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Temporar,
Șofer,https://posturi.gov.ro/anunt/sofer-254/,Primăria Oraşului Sângeorz-Băi,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Bistriţa-Năsăud,https://posturi.gov.ro/?judet=Bistriţa-Năsăud,Permanent,
asistenți medicali de radiologie,https://posturi.gov.ro/anunt/asistenti-medicali-de-radiologie-3/,"Spitalul Clinic Judeţean de Urgenţă „Sfântul Apostol Andrei”, Constanța","Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  24/09/2024,Constanţa,https://posturi.gov.ro/?judet=Constanţa,Permanent,
Asistent medical principal laborator,https://posturi.gov.ro/anunt/asistent-medical-principal-laborator/,Spitalul Clinic Județean de Urgență Brașov,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Braşov,https://posturi.gov.ro/?judet=Braşov,Permanent,
secretar unitate de învățământ,https://posturi.gov.ro/anunt/secretar-unitate-de-invatamant-12/,"Școala Gimnazială Comuna Moșnița-Noua, județul Timiș","Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Timiş,https://posturi.gov.ro/?judet=Timiş,Permanent,
"pilot aeronava cls.III, instructor parasutism cls.I, inspector pilotaj cls.I",https://posturi.gov.ro/anunt/pilot-aeronava-cls-iii-instructor-parasutism-cls-i-inspector-pilotaj-cls-i/,Aeroclubul Romaniei,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
conducător auto(șofer) utilaj multifuncțional,https://posturi.gov.ro/anunt/conducator-autosofer-utilaj-multifunctional-2/,"Primăria comunei Mărăcineni, jud.Argeș","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Arges,https://posturi.gov.ro/?judet=Arges,Permanent,
Îngrijitoare,https://posturi.gov.ro/anunt/ingrijitoare-454/,Grădinița cu Program Prelungit nr. 54 Oradea,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  27/09/2024,Bihor,https://posturi.gov.ro/?judet=Bihor,Permanent,
Analist debutant,https://posturi.gov.ro/anunt/analist-debutant-6/,Institutul National pentru Cercetare si Formare Culturala,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
Contabil Sef grad II,https://posturi.gov.ro/anunt/contabil-sef-grad-ii-10/,Academia Română Filiala Cluj-Napoca,"Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Permanent,
