_row_id,event_type,judet,uat,data,lat,long,fond_cinegetic,numar_raport,nr_identificare,echipa_interventie,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de,coord_status
32_alungare,alungare,Argeș,RUCĂR,2021-09-08,,,,,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,"Un exemplar de urs a revenit dupa alungare, la o proprietate unde omorase doua suine, si incerca sa patrunda din nou in grajd. Exemplarul a fost impuscat in intravilanul localitatii Rucar, a marcat focul, dar nu a murit pe loc si a fugit in extravilan. Ulterior gestionarul fondului cinegetic a intreprins actiuni de cautare, dar ursul nu a mai fost gasit.",Împușcare,Petruta Ghica,
32_impuscare,impuscare,Argeș,RUCĂR,,45.407411,25.144779,RUCAR 22,1500922,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,"Un exemplar de urs a revenit dupa alungare, la o proprietate unde omorase doua suine, si incerca sa patrunda din nou in grajd. Exemplarul a fost impuscat in intravilanul localitatii Rucar, a marcat focul, dar nu a murit pe loc si a fugit in extravilan. Ulterior gestionarul fondului cinegetic a intreprins actiuni de cautare, dar ursul nu a mai fost gasit.",Împușcare,Petruta Ghica,swapped
33_alungare,alungare,Argeș,RUCĂR,,45.385597,25.169225,RUCAR 22,1500927,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,Un urs de talie mare a fost vazut in gspodaria aflata in intravilan. Jandarmeria a folosit  mijloace acustice si luminoase pentru alungare. Dupa patrulare ursul nu a mai fost vazut.,Alungat,Petruta Ghica,swapped
34_alungare,alungare,Argeș,RUCĂR,,45.377971,25.166270,RUCAR 22,1500935,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,"Ursul a patruns in gospodaria aflata in intravilanul comunei Rucar. La sosirea echipei de interventie a fost gasit gardul, rupt, insa ursul nu a mai fost gasit. S-a efectuat patrulare, s-au folosit semnale acustice si luminoase.",Alungat,Petruta Ghica,swapped
35_alungare,alungare,Argeș,RUCĂR,,45.383968,25.167179,RUCAR 22,1500952,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,Ursul a patruns in gospodaria aflata in intravilanul localitatii Rucar. La sosirea echipei de interventie ursul nu a mai fost gasit. S-au folosit mijloace acustice si luminoase si s-au efectuat patrulari in zona.,Alungat,Petruta Ghica,swapped
36_alungare,alungare,Argeș,RUCĂR,,45.380646,25.168896,RUCAR 22,1500952,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,"Ursul a revenit la o gospodarie aflata in intravilanul localitatii Rucar, a patruns in grajd rupand acoperisul si usile si a devorat resturile ovinei ucise cu o seara inainte. S-au folosit semnale acustice si luminoase acustice si luminoase",Alungat,Petruta Ghica,swapped
37_alungare,alungare,Argeș,BUGHEA DE SUS,,,,RAUL TARGULUI 18,1500952,,Jandarmerie,Mascul,"Ursul a fost vazut in jurul unei gospodarii din intravilanul comunei Bughea de Sus. La sosirea jandarmilor, ursul nu a mai fost gasit. S-a efectuat patrulare si au fost folosite mijloace acustiec si luminoase.",Alungat,Petruta Ghica,incomplete
38_alungare,alungare,Argeș,RUCĂR,,45.398870,25.146723,RUCAR 22,1500979,,"Jandarmerie, primarie, Fond cinegetic",Mascul,"Ursul a patruns in mai multe proprietati aflate in intravilanul comunei Rucar, distrugand garduri si pomi fructiferi. Echipa de  interventie a vazut ursul la limita proprietatii, pentru alungare fiind folosite semnale acustice si luminoase.",Alungat,Petruta Ghica,swapped
39_alungare,alungare,Argeș,RUCĂR,2021-09-20,,,,,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,"Ursul vazut la un adapost de animale. Reprezentantul primariei Rucar a hotarat impuscarea exemplarului de urs , datorita numeroaselor pagube produse in intravilanul localitatii Rucar si a numeroaselor alungari.n intravilanul",Împușcare,Petruta Ghica,
39_impuscare,impuscare,Argeș,RUCĂR,,45.403270,25.150685,RUCAR 22,1501027,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,"Ursul vazut la un adapost de animale. Reprezentantul primariei Rucar a hotarat impuscarea exemplarului de urs , datorita numeroaselor pagube produse in intravilanul localitatii Rucar si a numeroaselor alungari.n intravilanul",Împușcare,Petruta Ghica,swapped
