denumire,status,stare,tip,remediere,culoare,Lat,Long
MODUL TERMIC Vila 6,functionale,Functionare normala,-,,#008217,44.480753,26.052959
MODUL TERMIC B13,functionale,Functionare normala,-,,#008217,44.480287,26.052983
9 Crivina,functionale,Functionare normala,-,,#008217,44.453035042298,26.053113541276
MODUL TERMIC F3,functionale,Functionare normala,-,,#008217,44.482443,26.053348
UM 02574 (MApN),functionale,Functionare normala,-,,#008217,44.422569,26.053464
MODUL TERMIC C9,avarii,Remediere avarie circuit primar,Oprire ACC,23.08.2024 23:30,#e0002b,44.481231,26.053522
MODUL TERMIC 4 Prefabricate Scara E,functionale,Functionare normala,-,,#008217,44.467554,26.053666
MODUL TERMIC 4 Prefabricate Scara B,functionale,Functionare normala,-,,#008217,44.467554,26.053666
STUDENTI 2,functionale,Functionare normala,-,,#008217,44.445212,26.053908
MODUL TERMIC G3,functionale,Functionare normala,-,,#008217,44.482585,26.053947
13-1 Mai,functionale,Functionare normala,-,,#008217,44.470083,26.054154
MODUL TERMIC 5 Prefabricate,functionale,Functionare normala,-,,#008217,44.466495,26.054163
7 Crivina,functionale,Functionare normala,-,,#008217,44.45506,26.05431
ZAGANESCU,functionale,Functionare normala,-,,#008217,44.446277618408,26.0543613
MODUL TERMIC Vila 17,functionale,Functionare normala,-,,#008217,44.481621,26.054493
MODUL TERMIC H3,functionale,Functionare normala,-,,#008217,44.483176,26.054498
MODUL TERMIC C13,avarii,Remediere avarie circuit primar,Oprire ACC,23.08.2024 23:30,#e0002b,44.481083,26.054535
UM 02630,functionale,Functionare normala,-,,#008217,44.431677,26.054687
Prunaru,functionale,Functionare normala,-,,#008217,44.457741539554,26.054722226752
MODUL TERMIC Vila 18-19,functionale,Functionare normala,-,,#008217,44.482511,26.054779
MODUL TERMIC 6 Prefabricate Scara B,functionale,Functionare normala,-,,#008217,44.465934,26.05491
"CSA Steaua - Sala Sport ""Mihai Viteazu"" UM 01026 (2301)",functionale,Functionare normala,-,,#008217,44.42951,26.055028
MODUL TERMIC I3,functionale,Functionare normala,-,,#008217,44.483268,26.055072
MODUL TERMIC 6 Prefabricate Scara E,functionale,Functionare normala,-,,#008217,44.465421,26.055304
MODUL TERMIC D9,functionale,Functionare normala,-,,#008217,44.481863,26.055313
MODUL TERMIC 7 Prefabricate,functionale,Functionare normala,-,,#008217,44.464848,26.055421
2’-1 Mai,functionale,Functionare normala,-,,#008217,44.470393,26.055587
6 ACM,avarii,Remediere avarie circuit primar -  Calea Grivitei,Oprire ACC,24.08.2024 23:30,#e0002b,44.464569,26.055611
MODUL TERMIC J3,functionale,Functionare normala,-,,#008217,44.483305,26.055639
2 Alexandria,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.403177937942,26.055751309863
MODUL TERMIC Vila 7 Bis,functionale,Functionare normala,-,,#008217,44.465004,26.055769
Stadion Giulești,functionale,Functionare normala,-,,#008217,44.45679,26.05584
STUDENTI 1,avarii,Remediere avarie circuit primar PT,Oprire ACC,23.08.2024 19:30,#e0002b,44.445331,26.055902
MFA,functionale,Functionare normala,-,,#008217,44.427234649658,26.0560035
MODUL TERMIC K3,functionale,Functionare normala,-,,#008217,44.484033,26.056185
Modul Termic D13,functionale,Functionare normala,-,,#008217,44.481894,26.056263
MODUL TERMIC Vila 23,functionale,Functionare normala,-,,#008217,44.483191,26.056296
Complex Studentesc LEU - Cămine + Fac.Electrotehnică,functionale,Functionare normala,-,,#008217,44.432552,26.056545
Creşa Popişteanu,functionale,Functionare normala,-,,#008217,44.472211,26.056609
UM1026(Regimentul de Gardă),functionale,Functionare normala,-,,#008217,44.430458,26.056726
MODUL TERMIC L3,functionale,Functionare normala,-,,#008217,44.484088,26.056734
I Grivita,avarii,Remediere avarie circuit primar -  Calea Grivitei,Oprire ACC,24.08.2024 23:30,#e0002b,44.463128,26.056843
MODUL TERMIC Vila 24,functionale,Functionare normala,-,,#008217,44.483272,26.05686
MODUL TERMIC E9,functionale,Functionare normala,-,,#008217,44.482508,26.056884
MODUL TERMIC Vila 30,functionale,Functionare normala,-,,#008217,44.482881,26.056959
MODUL TERMIC Vila 22,functionale,Functionare normala,-,,#008217,44.482016,26.057045
MODUL TERMIC Vila 29,functionale,Functionare normala,-,,#008217,44.483618,26.057204
MODUL TERMIC Vila 25,functionale,Functionare normala,-,,#008217,44.482668,26.057274
Teiuş,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.402295,26.057297
MODUL TERMIC Vila 26A,functionale,Functionare normala,-,,#008217,44.483229,26.057319
MODUL TERMIC M3,functionale,Functionare normala,-,,#008217,44.484118,26.057319
Locuinţe Steaua,functionale,Functionare normala,-,,#008217,44.466989,26.057461
MODUL TERMIC Vila 26B,functionale,Functionare normala,-,,#008217,44.48372,26.057633
MODUL TERMIC F13 sc.A+B,functionale,Functionare normala,-,,#008217,44.483179,26.057853
MODUL TERMIC Vila 28,functionale,Functionare normala,-,,#008217,44.483869,26.057957
MODUL TERMIC E13,functionale,Functionare normala,-,,#008217,44.482404,26.057968
S.C. Dageco Invest S.R.L.,functionale,Functionare normala,-,,#008217,44.474485,26.058074
MODUL TERMIC F13 sc.C+D,functionale,Functionare normala,-,,#008217,44.483393,26.058234
REGIE 3,functionale,Functionare normala,-,,#008217,44.444904,26.058345
MODUL TERMIC Vila 27,functionale,Functionare normala,-,,#008217,44.482892,26.058421
Popişteanu,functionale,Functionare normala,-,,#008217,44.46991257674,26.058443618095
8 Alexandria,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.404380559627,26.058723219777
Liceul 11 CFR,functionale,Functionare normala,-,,#008217,44.453352,26.058751
J Grivita,avarii,Remediere avarie circuit primar -  Calea Grivitei,Oprire ACC,24.08.2024 23:30,#e0002b,44.461227,26.058763
8 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.405762527794,26.059230247293
Razoare,functionale,Functionare normala,-,,#008217,44.428005,26.059298
S.C. Gersim Dinamic Real Estate S.R.L.,functionale,Functionare normala,-,,#008217,44.45424,26.059706
REGIE 4,functionale,Functionare normala,-,,#008217,44.445792,26.05989
Scoala Poligrafica,functionale,Functionare normala,-,,#008217,44.485171,26.059991
1 Drumul Sarii,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.419352917517,26.059991180552
REGIE 2,functionale,Functionare normala,-,,#008217,44.445941925049,26.060035
Palazul Mare,functionale,Functionare normala,-,,#008217,44.466562,26.060203
Intrarea Drumul Taberei,functionale,Functionare normala,-,,#008217,44.424038,26.061132
7 Petre Ispirescu,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.416427,26.061306
4 Drumul Sarii,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.418494402451,26.061323116694
1 Alexandria,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.405420487109,26.061514776772
7 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.407819,26.061609
Garoafei,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.403021,26.061654
Sandu Aldea,functionale,Functionare normala,-,,#008217,44.468388246699,26.061741277399
A Grant,functionale,Functionare normala,-,,#008217,44.456843,26.061751
Nabucului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.42164,26.061828
6 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.408995,26.062098
10 Margeanului,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.413420211315,26.062189931329
2 Drumul Sarii,functionale,Functionare normala,-,,#008217,44.42270918352,26.062222656868
Agronom Seminţe,functionale,Functionare normala,-,,#008217,44.468692,26.062234
7-1 Mai,functionale,Functionare normala,-,,#008217,44.468198,26.062423
3 Drumul Sării,avarii,"Lucrări de reparaţie a conductelor pe reţeaua termică primară - str.Sergent Nuţu Ion, str.Mihail Sebastian, str.Buzoieni",Oprire ACC,23.08.2024 23:30,#e0002b,44.420991229538,26.062554241834
